##A total of 52 records were returned. 
Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS	Structure	HIPPOCAMPUS
Database	"Hippocampus Consortium M430v2 (Jun06) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"	Database	"UMUTAffy Hippocampus Exon (Feb09) RMA"
ProbeSetID	1451484_a_at	ProbeSetID	5006084	ProbeSetID	5406054	ProbeSetID	5073493	ProbeSetID	5212319	ProbeSetID	5302610	ProbeSetID	5464238	ProbeSetID	4586204	ProbeSetID	4691802	ProbeSetID	4560307	ProbeSetID	4331643	ProbeSetID	5478786	ProbeSetID	4478869	ProbeSetID	5354090	ProbeSetID	5205493	ProbeSetID	5568571	ProbeSetID	4980986	ProbeSetID	4565937	ProbeSetID	4690115	ProbeSetID	4715176	ProbeSetID	4909408	ProbeSetID	4796904	ProbeSetID	5075456	ProbeSetID	5437309	ProbeSetID	4670175	ProbeSetID	4626939	ProbeSetID	4903124	ProbeSetID	4584641	ProbeSetID	4603430	ProbeSetID	5224800	ProbeSetID	4979085	ProbeSetID	4480874	ProbeSetID	4324129	ProbeSetID	4425896	ProbeSetID	5060235	ProbeSetID	5593151	ProbeSetID	5351532	ProbeSetID	4579602	ProbeSetID	5548272	ProbeSetID	5253761	ProbeSetID	5391247	ProbeSetID	4768849	ProbeSetID	5005122	ProbeSetID	5574521	ProbeSetID	4833758	ProbeSetID	5093187	ProbeSetID	5150087	ProbeSetID	4705714	ProbeSetID	5571666	ProbeSetID	5145101	ProbeSetID	5298705
Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD	Cross	BXD
B6D2F1	12.77	B6D2F1	14.4801	B6D2F1	12.8579	B6D2F1	11.537	B6D2F1	11.5827	B6D2F1	12.3171	B6D2F1	12.0716	B6D2F1	12.4078	B6D2F1	11.5715	B6D2F1	12.844	B6D2F1	11.6821	B6D2F1	9.34112	B6D2F1	13.5313	B6D2F1	12.6837	B6D2F1	12.5954	B6D2F1	12.0542	B6D2F1	8.027	B6D2F1	8.35781	B6D2F1	6.79048	B6D2F1	10.0681	B6D2F1	8.32353	B6D2F1	9.08354	B6D2F1	8.50239	B6D2F1	7.4624	B6D2F1	9.19024	B6D2F1	7.12317	B6D2F1	7.25356	B6D2F1	5.19352	B6D2F1	9.41373	B6D2F1	7.31111	B6D2F1	9.14387	B6D2F1	8.90062	B6D2F1	8.46855	B6D2F1	9.67661	B6D2F1	10.8355	B6D2F1	11.2597	B6D2F1	12.6195	B6D2F1	13.1192	B6D2F1	12.8053	B6D2F1	9.20006	B6D2F1	10.2623	B6D2F1	7.84943	B6D2F1	10.6111	B6D2F1	9.86313	B6D2F1	12.6456	B6D2F1	11.3414	B6D2F1	9.12657	B6D2F1	10.7296	B6D2F1	7.71218	B6D2F1	5.8889	B6D2F1	6.65469
C57BL/6J	12.996	C57BL/6J	14.2487	C57BL/6J	12.9554	C57BL/6J	11.0379	C57BL/6J	11.7318	C57BL/6J	11.7482	C57BL/6J	11.8319	C57BL/6J	12.2919	C57BL/6J	11.7148	C57BL/6J	12.6921	C57BL/6J	11.843	C57BL/6J	9.28225	C57BL/6J	13.5519	C57BL/6J	12.8158	C57BL/6J	12.851	C57BL/6J	12.3287	C57BL/6J	8.04541	C57BL/6J	8.75761	C57BL/6J	7.66266	C57BL/6J	9.90041	C57BL/6J	8.32041	C57BL/6J	8.92593	C57BL/6J	8.81354	C57BL/6J	7.69645	C57BL/6J	9.13502	C57BL/6J	7.90287	C57BL/6J	7.47609	C57BL/6J	5.51695	C57BL/6J	9.11343	C57BL/6J	7.6197	C57BL/6J	8.99181	C57BL/6J	8.42936	C57BL/6J	8.82794	C57BL/6J	9.29666	C57BL/6J	10.5006	C57BL/6J	11.1082	C57BL/6J	12.7232	C57BL/6J	13.3514	C57BL/6J	12.9943	C57BL/6J	10.2315	C57BL/6J	9.73133	C57BL/6J	7.89677	C57BL/6J	10.7381	C57BL/6J	9.87288	C57BL/6J	13.0277	C57BL/6J	11.7576	C57BL/6J	8.50257	C57BL/6J	10.3957	C57BL/6J	7.85268	C57BL/6J	6.30309	C57BL/6J	6.82862
DBA/2J	12.885	DBA/2J	14.1578	DBA/2J	12.9367	DBA/2J	10.742	DBA/2J	11.8478	DBA/2J	11.8006	DBA/2J	11.955	DBA/2J	12.6647	DBA/2J	11.8063	DBA/2J	12.5101	DBA/2J	11.9019	DBA/2J	9.56532	DBA/2J	13.5999	DBA/2J	12.942	DBA/2J	12.9685	DBA/2J	12.4479	DBA/2J	8.0442	DBA/2J	8.94728	DBA/2J	7.83871	DBA/2J	9.93259	DBA/2J	8.2955	DBA/2J	8.72961	DBA/2J	8.82594	DBA/2J	7.67871	DBA/2J	9.09052	DBA/2J	8.16949	DBA/2J	8.61386	DBA/2J	6.02748	DBA/2J	9.11431	DBA/2J	7.93379	DBA/2J	9.33674	DBA/2J	8.40113	DBA/2J	8.97551	DBA/2J	9.58443	DBA/2J	10.5594	DBA/2J	11.1681	DBA/2J	12.9148	DBA/2J	13.3293	DBA/2J	13.2564	DBA/2J	10.8765	DBA/2J	9.98713	DBA/2J	7.35646	DBA/2J	11.2203	DBA/2J	10.0752	DBA/2J	13.18	DBA/2J	12.0137	DBA/2J	7.23402	DBA/2J	10.2493	DBA/2J	8.02672	DBA/2J	5.70123	DBA/2J	6.80864
BXD1	12.976	BXD1	14.277	BXD1	12.5535	BXD1	11.0619	BXD1	11.3767	BXD1	11.7624	BXD1	11.8572	BXD1	11.9774	BXD1	11.6602	BXD1	12.7386	BXD1	12.1249	BXD1	9.50615	BXD1	13.6831	BXD1	12.991	BXD1	12.9315	BXD1	12.4692	BXD1	7.62883	BXD1	8.34418	BXD1	7.75712	BXD1	10.0338	BXD1	8.62746	BXD1	8.94513	BXD1	8.72676	BXD1	7.73522	BXD1	9.18734	BXD1	7.66477	BXD1	8.11817	BXD1	5.30292	BXD1	9.36102	BXD1	7.83047	BXD1	8.68855	BXD1	8.33379	BXD1	9.09105	BXD1	9.46624	BXD1	10.3213	BXD1	11.0734	BXD1	13.0115	BXD1	13.4405	BXD1	13.0257	BXD1	9.91459	BXD1	9.87269	BXD1	7.74943	BXD1	10.5669	BXD1	9.94097	BXD1	12.7018	BXD1	11.4639	BXD1	7.93573	BXD1	10.4402	BXD1	7.79192	BXD1	6.35791	BXD1	6.65734
BXD2	12.737	BXD2	14.285	BXD2	12.4418	BXD2	11.1448	BXD2	11.3398	BXD2	11.9828	BXD2	11.7443	BXD2	12.2166	BXD2	11.3075	BXD2	12.8575	BXD2	11.5232	BXD2	9.30807	BXD2	13.3602	BXD2	12.6932	BXD2	12.4252	BXD2	12.1865	BXD2	7.37777	BXD2	7.88724	BXD2	7.08986	BXD2	9.83315	BXD2	8.49612	BXD2	8.79352	BXD2	8.31229	BXD2	6.63052	BXD2	9.08647	BXD2	7.16269	BXD2	9.68884	BXD2	6.26177	BXD2	8.53275	BXD2	6.30484	BXD2	9.27029	BXD2	7.84232	BXD2	8.50259	BXD2	8.79309	BXD2	10.5747	BXD2	11.0919	BXD2	12.453	BXD2	12.9289	BXD2	12.6039	BXD2	10.4396	BXD2	9.48514	BXD2	7.84634	BXD2	10.7511	BXD2	9.77956	BXD2	12.5417	BXD2	11.0005	BXD2	8.3403	BXD2	10.7849	BXD2	7.62335	BXD2	5.53824	BXD2	6.91105
BXD5	12.971	BXD5	14.2473	BXD5	12.5247	BXD5	11.2575	BXD5	11.4259	BXD5	11.9496	BXD5	11.8401	BXD5	12.5834	BXD5	11.8026	BXD5	12.8486	BXD5	11.9897	BXD5	9.3582	BXD5	13.8203	BXD5	13.0653	BXD5	12.7425	BXD5	12.3509	BXD5	7.35103	BXD5	8.90142	BXD5	7.59868	BXD5	9.7629	BXD5	8.30055	BXD5	8.70553	BXD5	9.01188	BXD5	7.5214	BXD5	9.25472	BXD5	7.28349	BXD5	7.19234	BXD5	5.75073	BXD5	8.48217	BXD5	7.5204	BXD5	8.92861	BXD5	8.36333	BXD5	8.94703	BXD5	9.2456	BXD5	10.7869	BXD5	10.3638	BXD5	12.9954	BXD5	13.088	BXD5	12.8928	BXD5	10.4183	BXD5	9.89338	BXD5	7.8754	BXD5	10.8275	BXD5	9.8688	BXD5	12.5687	BXD5	11.4421	BXD5	8.7123	BXD5	10.7497	BXD5	8.30207	BXD5	5.56315	BXD5	7.1553
BXD6	12.828	BXD6	14.3348	BXD6	12.8556	BXD6	10.8174	BXD6	11.8064	BXD6	11.49	BXD6	11.7319	BXD6	11.8987	BXD6	11.2293	BXD6	12.4793	BXD6	11.525	BXD6	9.95935	BXD6	13.3241	BXD6	12.6394	BXD6	12.6523	BXD6	12.1847	BXD6	7.9451	BXD6	8.77892	BXD6	8.18361	BXD6	9.93497	BXD6	8.1618	BXD6	8.87081	BXD6	9.1065	BXD6	8.01554	BXD6	8.98954	BXD6	8.87645	BXD6	8.96952	BXD6	6.87714	BXD6	9.56301	BXD6	7.92044	BXD6	9.10144	BXD6	8.75957	BXD6	9.54927	BXD6	9.83136	BXD6	10.4578	BXD6	11.0152	BXD6	12.688	BXD6	13.1353	BXD6	12.9654	BXD6	10.6496	BXD6	10.0918	BXD6	8.53022	BXD6	10.9369	BXD6	10.2838	BXD6	12.7426	BXD6	11.396	BXD6	9.12008	BXD6	10.2777	BXD6	8.6946	BXD6	5.28258	BXD6	6.99129
