"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000043881",1253.85879180913,1.64735119874426,0.137202168920082,239.339948829523,5.1341479332656e-48,5.04327351484679e-44
"ENSMUSG00000032557",969.263922339884,-0.0331537497153183,0.0868805143838927,72.5894650362022,4.42110353020089e-13,2.17142499885817e-09
"ENSMUSG00000078880",343.179251712796,6.60682944616816,1.15935641537443,64.6634518995618,1.75718566263417e-11,5.75361158801849e-08
"ENSMUSG00000039126",2249.44788600306,-0.00218536080082944,0.107051224348513,58.522800714676,2.97494914069611e-10,7.30573135226448e-07
"ENSMUSG00000073418",1004.96005319196,-0.266781658440423,0.172167121401539,52.3709416555766,4.93371536697579e-09,9.69277720996063e-06
"ENSMUSG00000106037",558.321285485166,0.813404286634175,0.356062889885421,46.1540547512292,8.15880751754243e-08,0.000133573277074699
"ENSMUSG00000029033",3357.78651787653,-0.0162334477781452,0.0811672702108533,44.8228635042136,1.48025435771961e-07,0.000187652371257322
"ENSMUSG00000030256",1040.47115739096,0.134082564690174,0.115635999003495,44.7514041331945,1.5282693373293e-07,0.000187652371257322
"ENSMUSG00000069972",554.094210635969,1.92420580123361,0.570102252804064,44.487025251741,1.71976489288301e-07,0.000187702783808776
"ENSMUSG00000031834",3604.0569850051,-0.0505747423897937,0.0632969998640335,43.9645556093809,2.17112711895765e-07,0.00021326981689521
"ENSMUSG00000029438",2216.49922647256,-0.0373841422322983,0.0718222396871455,42.1967770721275,4.76541078616379e-07,0.000390088584604058
"ENSMUSG00000079225",886.718752813324,0.15686946587484,0.0732032095972636,42.3168458821143,4.51818650046029e-07,0.000390088584604058
"ENSMUSG00000036957",622.29551156725,-0.0301521357426353,0.0919343225170991,38.1752947500103,2.80628883021158e-06,0.00212047501378218
"ENSMUSG00000025576",5183.69935635316,-0.166793048771123,0.070276035253177,37.1813266916774,4.33386771522762e-06,0.00304082732619149
"ENSMUSG00000083773",522.320871875145,-0.242178284695863,2.27313384493937,36.4160547390883,6.04955542649778e-06,0.00396165219696585
"ENSMUSG00000011877",10158.4041454939,-0.122790183082631,0.0968927650408426,36.1406386777355,6.81945900695734e-06,0.00418672161408387
"ENSMUSG00000000282",1033.40623568084,0.094711552477968,0.0757906474897148,35.4285749957579,9.28963491050186e-06,0.00506956020699221
"ENSMUSG00000042369",454.049834438032,-0.106409452163096,0.109568667929888,35.4816080675303,9.07848247268041e-06,0.00506956020699221
"ENSMUSG00000068856",958.038635655698,-0.135758832711917,0.0887030943758535,35.2170548559295,1.01813056532531e-05,0.00512367599896325
